,0,1,0,1
921,서,VV,게,EC
922,어,EC,될,VV+ETM
923,퍼붓,VV,줄,NNB
924,ㄴ,ETM,이,VCP
925,들,XSN,야,EF
926,이,JKS,.,SF
927,계시,VV,..,SY
928,었,EP,요리,NNG
929,는데,EC,를,JKO
930,",",SP,잘,MAG
931,양양,NNP,하,VV
932,에,JKB,시,EP
933,식당,NNG,는,ETM
934,이,JKS,서퍼,NNP
935,마땅,XR,분,NNB
936,하,XSA,이,JKS
937,지,EC,계셔서,VV+EC
938,않,VX,나베,NNG
939,다,EC,에,JKB
940,보,VX,곁들여,VV+EC
941,니,EC,먹,VV
942,그분,NP,을,ETM
943,들,XSN,소스,NNG
944,끼리,XSN,도,JX
945,식사,NNG,무려,MAG
946,를,JKO,4,SN
947,만들,VV,가지,NNBC
948,어서,EC,나,JX
949,들,VV,준비,NNG
950,시,EP,해,XSV+EC
951,더라고요,EC,주,VX
952,감사,NNG,셨,EP+EP
953,하,XSV,어요,EF
954,게,EC,밀푀유,NNP
955,도,JX,나베,NNG
956,그,MM,랑,JC
957,식사,NNG,모츠,NNP
958,자리,NNG,나베,NNG
959,에,JKB,둘,NR
960,저희,NP,다,MAG
961,를,JKO,식당,NNG
962,초대,NNP,에서,JKB
963,해주,NNP,파,VV
964,신,NNP,는,ETM
965,거,NNB,것,NNB
966,예,NNG,처럼,JKB
967,요,JX,맛있,VA
968,이날,NNG,어서,EC
969,의,JKG,엄청,MAG
970,저녁,NNG,만족,NNG
971,메뉴,NNP,스럽,XSA
972,는,JX,게,EC
973,밀푀유,NNP,먹,VV
974,나,NNP,었,EP
975,베,NNG,어요,EF
976,와,JC,감사,NNG
977,모츠나베,NA,한,XSA+ETM
978,:,SP,마음,NNG
979,),SS,에,JKB
980,햄버거,NNP,설거지,NNG
981,",",SP,라도,VCP+EC
982,핫도그,NNP,했,VX+EP
983,로,JKB,어야,EC
984,보통,MAG,했,VX+EP
985,끼니,NNG,는데,EC
986,를,JKO,설거지,NNG
987,간단히,MAG,당번,NNG
988,해결,NNG,을,JKO
989,하,XSV,뽑,VV
990,는,ETM,는,ETM
991,양양,NNP,게임,NNG
992,에서,JKB,에서,JKB
993,이런,MM,이겨서,VV+EC
994,맛있,VA,설거지,NNG
995,는,ETM,도,JX
996,음식,NNG,면제,NNG
997,을,JKO,가,JKS
998,먹,VV,된,VV+ETM
999,게,EC,거,NNB
1000,되,VV,있,VA
1001,ㄹ,ETM,죠,EF
1002,줄이,VV,(,SSO
1003,야,EC,),SSC
1004,...,SE,사장,NNG
1005,요리,NNG,님,XSN
1006,를,JKO,이,JKS
1007,잘,MAG,유쾌,NNG
1008,하,XSV,하,XSV
1009,시,EP,셔서,EP+EC
1010,는,ETM,그런지,VA+EC
1011,서,VV,힐,NNP
1012,어,EC,비치,NNP
1013,퍼붓,VV,서프,NNP
1014,ㄴ,ETM,리조트,NNG
1015,이,NNP,에,JKB
1016,계시,VV,자주,MAG
1017,어서,EC,오,VV
1018,나,NP,시,EP
1019,베,NNG,는,ETM
1020,에,JKB,서퍼,NNP
1021,곁들이,VV,분,XSN
1022,어,EC,들,XSN
1023,먹,VX,도,JX
1024,을,ETM,다,MAG
1025,소스,NNP,친절,NNG
1026,도,JX,하,XSV
1027,무려,MAG,고,EC
1028,4,SN,재밌,VA
1029,가지,NNB,으셨어요,EP+EP+EF
1030,나,JX,너무,MAG
1031,준비,NNG,감사,NNG
1032,하,XSV,한,XSA+ETM
1033,아,EC,마음,NNG
1034,주,VX,에,JKB
1035,시,EP,다음,NNG
1036,었,EP,날,NNG
1037,어요,EC,저희,NP
1038,밀푀유,NNP,가,JKS
1039,나,NNP,간식거리,NNG
1040,베,NNG,라도,VCP+EC
1041,랑,JKB,사,VV
1042,모츠나베,NA,다,EC
1043,둘,NR,드리,VX
1044,다,MAG,려고,EC
1045,식당,NNG,했,VX+EP
1046,에서,JKB,는데,EC
1047,팔,VV,거절,NNG
1048,는,ETM,하,XSV
1049,것,NNB,시,EP
1050,처럼,JKB,더라고요,EF
1051,맛있,VA,저희,NP
1052,어서,EC,가,JKS
1053,엄청,MAG,식사,NNG
1054,만족,NNG,하,XSV
1055,스럽,XSA,는,ETM
1056,게,EC,와중,NNG
1057,먹,VV,에,JKB
1058,었,EP,도,JX
1059,어요,EC,토르,NNG
1060,감사,NNG,는,JX
1061,하,XSV,옆,NNG
1062,ㄴ,ETM,에서,JKB
1063,마음,NNG,이렇게,MAG
1064,에,JKB,얌전히,MAG
1065,설거지,NNG,있,VV
1066,이,VCP,더라고요,EC
1067,라도,EC,정말,MAG
1068,하,VV,너무,MAG
1069,았,EP,귀여웠,VA+EP
1070,어야,EC,어요,EF
1071,하,VV,저녁,NNG
1072,았,EP,식사,NNG
1073,는데,EC,를,JKO
1074,설거지,NNG,마치,VV
1075,당번,NNG,고,EC
1076,을,JKO,올려다,VV+EC
1077,뽑,VV,본,VX+ETM
1078,는,ETM,해지,NNG
1079,게임,NNG,는,JX
1080,에서,JKB,예쁜,VA+ETM
1081,이기,VV,하늘,NNG
1082,어서,EC,:,SC
1083,설거지,NNG,D,SL
1084,도,JX,이,MM
1085,면제,NNP,장면,NNG
1086,가,JKS,을,JKO
1087,되,VV,기록,NNG
1088,ㄴ,ETM,해,XSV+EC
1089,거,NNB,두,VX
1090,있,VX,고,EC
1091,죠,EC,싶,VX
1092,(,SS,다는,ETM
1093,),SS,생각,NNG
1094,사장,NNG,이,JKS
1095,님,XSN,들,VV
1096,이,JKS,어서,EC
1097,유쾌,XR,같이,MAG
1098,하,XSA,간,VV+ETM
1099,시,EP,언니,NNG
1100,어서,EC,의,JKG
1101,그런지,NNP,아이폰,NNP
1102,힐,NNP,으로,JKB
1103,비치,NNP,타임,NNG
1104,서,NNP,랩스,NNP
1105,프리,NNP,를,JKO
1106,조,NNP,찍,VV
1107,트,VV,어,EC
1108,에,EC,두,VX
1109,자주,MAG,고,EC
1110,오시,NNP,해변,NNG
1111,는,JX,을,JKO
1112,서,VV,산책,NNG
1113,어,EC,했,XSV+EP
1114,퍼붓,VV,어요,EF
1115,ㄴ들,EC,골든아워,NNG
1116,도,JX,에,JKB
1117,다,MAG,찍,VV
1118,친절,NNG,은,ETM
1119,하,XSV,동산,NNG
1120,고,EC,해수욕장,NNG
1121,재밌,VA,은,JX
1122,으시,EP,그림,NNG
1123,었,EP,같이,JKB
1124,어요,EC,예뻤,VA+EP
1125,너무,MAG,어요,EF
1126,감사,NNG,:,SC
1127,하,XSV,),SSC
1128,ㄴ,ETM,다른,MM
1129,마음,NNG,숙박,NNG
1130,에,JKB,객,NNG
1131,다음날,NNG,분,XSN
1132,저희,NP,들,XSN
1133,가,JKS,과,JC
1134,간식,NNP,이런,MM
1135,것,NNB,저런,MM
1136,리라,NNP,얘기,NNG
1137,도,JX,를,JKO
1138,사,VV,나누,VV
1139,다,EC,다가,EC
1140,드리,VX,",",SC
1141,려고,EC,언니,NNG
1142,하,VV,와,JC
1143,았,EP,인구,NNG
1144,는데,EC,해변,NNG
1145,거절,NNG,쪽,NNB
1146,하,XSV,으로,JKB
1147,시,EP,자리,NNG
1148,더라고요,EC,를,JKO
1149,저희,NP,옮겨서,VV+EC
1150,가,JKS,놀,VV
1151,식사,NNG,았,EP
1152,하,XSV,어요,EF
1153,는,ETM,이날,NNG
1154,와중,NNG,동산,NNG
1155,에,JKB,해수욕장,NNG
1156,도,JX,에,JKB
1157,토르,NNP,행사,NNG
1158,는,JX,가,JKS
1159,옆,NNG,있,VA
1160,에서,JKB,어서,EC
1161,이렇,VA,분위기,NNG
1162,게,EC,가,JKS
1163,얌전히,MAG,핫,NNG
1164,있,VV,했,XSV+EP
1165,더라고요,EC,어요,EF
1166,정말,MAG,젊음,NNG
1167,너무,MAG,을,JKO
1168,귀엽,VA,만끽,NNG
1169,었,EP,하,XSV
1170,어요,EC,고,EC
1171,저녁,NNG,싶,VX
1172,식사,NNG,으신,EP+ETM
1173,를,JKO,분,NNB
1174,마치,VV,들,XSN
1175,고,EC,은,JX
1176,올리,VV,양양,NNP
1177,어다,EC,으로,JKB
1178,보,VV,오,VV
1179,ㄴ,ETM,시,EP
1180,해지,NNP,면,EC
1181,는,JX,돼요,VV+EF
1182,예쁘,VA,우연히,MAG
1183,ㄴ,ETM,어떤,MM
1184,하늘,NNG,펍,UNKNOWN
1185,:,SP,을,JKO
1186,D,SL,지나,VV
1187,이,MM,게,EC
1188,장면,NNG,됐,VV+EP
1189,을,JKO,는데,EC
1190,기록,NNG,거기,NP
1191,하,XSV,서,JKB
1192,아,EC,는,JX
1193,두,VX,버블,NNG
1194,고,EC,파티,NNG
1195,싶,VX,도,JX
1196,다는,ETM,하,VV
1197,생각,NNG,더라고요,EC
1198,이,JKS,스페인,NNP
1199,들,VV,의,JKG
1200,어서,EC,이,MM
1201,같이,MAG,비자,NNG
1202,간,NNB,섬,NNG
1203,언니,NNG,인,VCP+ETM
1204,의,JKG,줄,NNB
1205,아이폰,NNP,알,VV
1206,으로,JKB,았,EP
1207,타임랩스를,NA,어요,EF
1208,찍,VV,(,SSO
1209,어,EC,),SSC
1210,두,VX,버블,NNG
1211,고,EC,파티,NNG
1212,해변,NNP,에,JKB
1213,을,JKO,는,JX
1214,산책,NNG,관심,NNG
1215,하,XSV,이,JKS
1216,았,EP,없,VA
1217,어요,EC,어서,EC
1218,골든아워에,NA,언니,NNG
1219,찍,VV,와,JC
1220,은,ETM,맥주,NNG
1221,동산,NNP,한,MM
1222,해수욕장,NNP,캔,NNG
1223,은,JX,으로,JKB
1224,그림,NNG,마무리,NNG
1225,같이,JKB,한,XSA+ETM
1226,예쁘,VA,양양,NNP
1227,었,EP,여행,NNG
1228,어요,EC,의,JKG
1229,:,SP,첫째,NR
1230,),SS,날,NNG
1231,다른,MM,둘,NR
1232,숙박,NNP,이,XSN
1233,객,NNG,서,JKS
1234,분,XSN,바닷가,NNG
1235,들,XSN,에,JKB
1236,과,JC,설치,NNG
1237,이런저런,MM,되,XSV
1238,얘기,NNG,어,EC
1239,를,JKO,있,VX
1240,나누,VV,는,ETM
1241,다가,EC,해먹,NNG
1242,",",SP,도,JX
1243,언니,NNG,한,MM
1244,와,JC,시간,NNG
1245,인구,NNP,동안,NNG
1246,해변,NNP,타,VV
1247,쪽,NNB,고,EC
1248,으로,JKB,",",SC
1249,자리,NNG,흘러나오,VV
1250,를,JKO,는,ETM
1251,옮기,VV,음악,NNG
1252,어서,EC,에,JKB
1253,놀,VV,맞춰,VV+EC
1254,았,EP,춤,NNG
1255,어요,EC,도,JX
1256,이날,NNG,추,VV
1257,동산,NNP,고,EC
1258,해수욕장,NNP,참,MAG
1259,에,JKB,재밌,VA
1260,행사,NNG,게,EC
1261,가,JKS,놀,VV
1262,있,VV,았,EP
1263,어서,EC,어요,EF
1264,분위기,NNG,다음,NNG
1265,가,JKS,날,NNG
1266,핫,NNG,아침,NNG
1267,하,XSV,에,JKB
1268,았,EP,숙소,NNG
1269,어요,EC,1,SN
1270,젊음,NNG,층,NNG
1271,을,JKO,에서,JKB
1272,만끽,NNG,찍,VV
1273,하,XSV,은,ETM
1274,고,EC,동산,NNG
1275,싶,VX,해수욕장,NNG
1276,으시,EP,이,VCP
1277,ㄴ,ETM,에요,EF
1278,분,NNB,힐,NNP
1279,들,XSN,비치,NNP
1280,은,JX,서프,NNP
1281,양양,NNP,리조트,NNG
1282,으로,JKB,는,JX
1283,오,VX,동산,NNG
1284,시,EP,해수욕장,NNG
1285,면,EC,바로,MAG
1286,되,VV,앞,NNG
1287,어요,EC,에,JKB
1288,우연히,MAG,있,VV
1289,어떤,MM,기,ETN
1290,푸,VV,때문,NNB
1291,업,VV,에,JKB
1292,을,ETM,전,MM
1293,지나,VV,객실,NNG
1294,게,EC,이,JKS
1295,되,VV,오션,NNP
1296,었,EP,뷰,NNP
1297,는데,EC,예요,VCP+EF
1298,거기,NP,정말,MAG
1299,서,JKB,저렴,XR
1300,는,JX,한,XSA+ETM
1301,버블,NNP,도미,NNG
1302,파티,NNP,토리,NNG
1303,도,JX,숙소,NNG
1304,하,VV,에서,JKB
1305,더라고요,EC,오션,NNP
1306,스페인,NNP,뷰,NNP
1307,의,JKG,를,JKO
1308,이,MM,볼,VV+ETM
1309,비자,NNP,수,NNB
1310,섬,NNG,있,VV
1311,인줄,NNG,다는,ETM
1312,알,VV,게,NNB+JKS
1313,았,EP,너무,MAG
1314,어요,EC,좋,VA
1315,(,SS,았,EP
1316,),SS,어요,EF
1317,버블,NNP,맑,VA
1318,파티,NNP,게,EC
1319,에,JKB,갠,VV+ETM
1320,는,JX,하늘,NNG
1321,관심,NNG,:,SC
1322,이,JKS,),SSC
1323,없,VA,다행히,MAG
1324,어서,EC,이날,NNG
1325,언니,NNG,의,JKG
1326,와,JC,파도,NNG
1327,맥주,NNP,상태,NNG
1328,한,MM,가,JKS
1329,캔,NNG,괜찮,VA
1330,으로,JKB,아서,EC
1331,마무리,NNG,오전,NNG
1332,하,XSV,10,SN
1333,ㄴ,ETM,시,NNBC
1334,양양,NNP,에,JKB
1335,여행,NNP,서핑,NNG
1336,의,JKG,강습,NNG
1337,첫째,NR,을,JKO
1338,날,NNG,진행할,VV+ETM
1339,둘,NR,수,NNB
1340,이서,NNP,있,VV
1341,바닷가,NNG,었,EP
1342,에,JKB,어요,EF
1343,설치,NNG,동해,NNP
1344,되,XSV,의,JKG
1345,어,EC,날씨,NNG
1346,있,VV,는,JX
1347,는,ETM,변덕,NNG
1348,해먹,NNP,스럽,XSA
1349,도,JX,기,ETN
1350,한,MM,때문,NNB
1351,시간,NNP,에,JKB
1352,동안,NNP,갑자기,MAG
1353,타,VV,해수욕장,NNG
1354,고,EC,입욕,NNG
1355,",",SP,통제,NNG
1356,흘러나오,VV,가,JKS
1357,는,ETM,되,VV
1358,음악,NNG,기,ETN
1359,에,JKB,도,JX
1360,맞추,VV,하,VV
1361,어,EC,고,EC
1362,춤,NNG,풍랑,NNG
1363,도,JX,주의보,NNG
1364,추,VV,가,JKS
1365,고,EC,내려지,VV
1366,참,MAG,기,ETN
1367,재밌,VA,도,JX
1368,게,EC,해요,VV+EF
1369,놀,VV,그러면,MAJ
1370,았,EP,서핑,NNG
1371,어요,EC,도,JX
1372,다음날,NNG,못하,VX
1373,아침,NNG,게,EC
1374,에,JKB,될,VV+ETM
1375,숙소,NNG,가능,NNG
1376,1,SN,성,XSN
1377,층,XSN,이,JKS
1378,에서,JKB,높,VA
1379,찍,VV,기,ETN
1380,은,ETM,때문,NNB
1381,동산,NNP,에,JKB
1382,해수욕장,NNP,",",SC
1383,이,VCP,미리,MAG
1384,에요,EC,파도,NNG
1385,힐,NNP,의,JKG
1386,비치,NNP,상태,NNG
1387,서,NNP,를,JKO
1388,프리,NNP,확인,NNG
1389,조,NNP,하,XSV
1390,트,VV,고,EC
1391,는,ETM,양양,NNG
1392,동산,NNP,을,JKO
1393,해수욕장,NNP,오,VV
1394,바로,MAG,는,ETM
1395,앞,NNG,게,NNB+JKS
1396,에,JKB,좋,VA
1397,있,VV,아요,EF
1398,기,ETN,체형,NNG
1399,때문,NNB,에,JKB
1400,에,JKB,맞,VV
1401,전,NNG,는,ETM
1402,객실,NNG,서핑,NNG
1403,이,JKS,슈트,NNG
1404,오션뷰예요,NA,를,JKO
1405,정말,MAG,받,VV
1406,저렴,XR,고,EC
1407,하,XSA,탈의실,NNG
1408,ㄴ,ETM,에서,JKB
1409,도미,NNP,갈아입,VV
1410,토리,NNP,은,ETM
1411,숙소,NNG,후,NNG
1412,에서,JKB,숙소,NNG
1413,오션뷰를,NA,바로,MAG
1414,보,VV,앞,NNG
1415,ㄹ,ETM,바다,NNG
1416,수,NNB,에서,JKB
1417,있,VV,이론,NNG
1418,다는,ETM,강습,NNG
1419,게,EC,을,JKO
1420,너무,MAG,들,VV
1421,좋,VA,었,EP
1422,았,EP,어요,EF
1423,어요,EC,뙤약볕,NNG
1424,맑,VA,에서,JKB
1425,게,EC,이론,NNG
1426,개,NNB,강습,NNG
1427,ㄴ,JX,을,JKO
1428,하늘,NNG,들으면,VV+EC
1429,:,SP,굉장히,MAG
1430,),SS,고통,NNG
1431,다행히,MAG,스러운데,XSA+EF
1432,이날,NNG,",",SC
1433,의,JKG,힐,NNG
1434,파도,NNP,비치,NNG
1435,상태,NNG,에서,JKB
1436,가,JKS,세워,VV+EC
1437,괜찮,VA,놓,VX
1438,아서,EC,은,ETM
1439,오전,NNP,천막,NNG
1440,10,SN,이,JKS
1441,시,NNB,있,VV
1442,에,JKB,어서,EC
1443,서핑,NNP,그,MM
1444,강습,NNG,아래,NNG
1445,을,JKO,에서,JKB
1446,진행,NNG,수업,NNG
1447,하,XSV,을,JKO
1448,ㄹ,ETM,들으니,VV+EC
1449,수,NNB,쾌적,XR
1450,있,VX,하,XSA
1451,었,EP,고,EC
1452,어요,EC,좋,VA
1453,동해,NNP,았,EP
1454,의,JKG,어요,EF
1455,날씨,NNG,보통,NNG
1456,는,JX,일괄,NNG
1457,변덕,NNG,적,XSN
1458,스럽,XSA,으로,JKB
1459,기,ETN,육지,NNG
1460,때문,NNB,에서,JKB
1461,에,JKB,자세,NNG
1462,갑자기,MAG,를,JKO
1463,해수욕장,NNP,가르친,VV+ETM
1464,입욕,NNG,다음,NNG
1465,통제,NNG,",",SC
1466,가,JKS,한,MM
1467,되,VV,명,NNBC
1468,기,ETN,한,MM
1469,도,JX,명,NNBC
1470,하,VV,바다,NNG
1471,고,EC,에서,JKB
1472,풍랑,NNG,밀어주,VV
1473,주의보,NNG,는,ETM
1474,가,JKS,방식,NNG
1475,내려지,VV,으로,JKB
1476,기,ETN,수업,NNG
1477,도,JX,진행,NNG
1478,하,VV,이,JKS
1479,아요,EC,되,VV
1480,그러면,MAJ,는데,EC
1481,서핑,NNP,선생,NNG
1482,도,JX,님,XSN
1483,못하,VX,께서,JKS
1484,게,EC,개인,NNG
1485,되,VV,별,XSN
1486,ㄹ,ETM,로,JKB
1487,가능,XR,어떤,MM
1488,성,XSN,부분,NNG
1489,이,JKS,이,JKS
1490,높,VA,부족,NNG
1491,기,ETN,한지,XSA+EC
1492,때문,NNB,어떻게,MAG
1493,에,JKB,개선,NNG
1494,",",SP,을,JKO
1495,미리,MAG,해야,VV+EC
1496,파도,NNP,되,VV
1497,의,JKG,는지,EC
1498,상태,NNG,피드백,NNG
1499,를,JKO,을,JKO
1500,확인,NNG,잘,MAG
1501,하,XSV,해,VV+EC
1502,고,EC,주,VX
1503,양양,NNP,셔서,EP+EC
1504,을,JKO,서핑,NNG
1505,오,VV,실력,NNG
1506,는,ETM,이,JKS
1507,게,EC,좀,MAG
1508,좋,VA,업그레이드,NNG
1509,아요,EC,될,VV+ETM
1510,체형,NNG,수,NNB
1511,에,JKB,있,VV
1512,맞,VV,었,EP
1513,는,ETM,어요,EF
1514,서핑,NNP,이때,NNG
1515,슈트,NNP,가,JKS
1516,를,JKO,인생,NNG
1517,받,VV,3,SN
1518,고,EC,번,NNBC
1519,탈의실,NNP,째,XSN
1520,에서,JKB,서핑,NNG
1521,갈아입,VV,이,VCP
1522,은,ETM,었,EP
1523,후,NNG,는데,EC
1524,숙소,NNG,선생,NNG
1525,바로,MAG,님,XSN
1526,앞,NNG,께서,JKS
1527,바다,NNG,잘,MAG
1528,에서,JKB,한다고,VV+EC
1529,이론,NNG,칭찬,NNG
1530,강습,NNG,도,JX
1531,을,JKO,해,VV+EC
1532,들,VV,주,VX
1533,었,EP,셨,EP+EP
1534,어요,EC,어요,EF
1535,뙤약볕,NNG,(,SSO
1536,에서,JKB,신남,NNG
1537,이론,NNG,),SSC
1538,강습,NNG,친절,NNG
1539,을,JKO,하,XSV
1540,들,VV,신,EP+ETM
1541,으면,EC,사장,NNG
1542,굉장히,MAG,님,XSN
1543,고통,NNG,",",SC
1544,스럽,XSA,서핑,NNG
1545,ㄴ데,EC,독점,NNG
1546,",",SP,해변,NNG
1547,힐,NNP,",",SC
1548,비치,NNP,깔끔,XR
1549,에서,JKB,한,XSA+ETM
1550,세우,VV,시설,NNG
1551,어,EC,",",SC
1552,놓,VX,귀여운,VA+ETM
1553,은,ETM,토르,NNG
1554,천막,NNP,까지,JX
1555,이,JKS,모든,MM
1556,있,VV,게,NNB+JKS
1557,어서,EC,다,MAG
1558,그,MM,만족,NNG
1559,아래,NNG,스러웠,XSA+EP
1560,에서,JKB,던,ETM
1561,수업,NNG,숙소,NNG
1562,을,JKO,였,VCP+EP
1563,들,VV,어요,EF
1564,으니,EC,양양,NNP
1565,쾌적,XR,서핑,NNG
1566,하,XSA,숙소,NNG
1567,고,EC,고민,NNG
1568,좋,VA,하,XSV
1569,았,EP,시,EP
1570,어요,EC,는,ETM
1571,보통,MAG,분,NNB
1572,일괄,NNG,들,XSN
1573,적,XSN,께,JKB
1574,으로,JKB,힐,NNP
1575,육지,NNG,비치,NNP
1576,에서,JKB,서프,NNP
1577,자세,NNG,리조트,NNG
1578,를,JKO,추천,NNG
1579,가르치,VV,합니다,XSV+EF
1580,ㄴ,ETM,사이트,NNG
1581,다음,NNG,:,SC
1582,",",SP,www,SL
1583,한,MM,.,SY
1584,명,NNB,healbeachsurf,SL
1585,한,MM,.,SY
1586,명,NNB,com,SL
1587,바다,NNG,인,VCP+ETM
1588,에서,JKB,스타,NNG
1589,밀어주,VV,:,SC
1590,는,ETM,www,SL
1591,방식,NNG,.,SY
1592,으로,JKB,instagram,SL
1593,수업,NNG,.,SY
1594,진행,NNG,com,SL
1595,이,JKS,/,SC
1596,되,VV,p,SL
1597,는데,EC,/,SC
1598,선생님,NNP,ByR,SL
1599,께서,JKS,70,SN
1600,개인,NNG,tmgXRm,SL
1601,별,XSN,,
1602,로,JKB,,
1603,어떤,MM,,
1604,부분,NNG,,
1605,이,JKS,,
1606,부족,NNG,,
1607,하,XSV,,
1608,ㄴ지,EC,,
1609,어떻,VA,,
1610,게,EC,,
1611,개선,NNG,,
1612,을,JKO,,
1613,하,VV,,
1614,아야,EC,,
1615,되,VV,,
1616,는지,EC,,
1617,피드백,NNP,,
1618,을,JKO,,
1619,잘,MAG,,
1620,하,XSV,,
1621,아,EC,,
1622,주,VX,,
1623,시,EP,,
1624,어서,EC,,
1625,서핑,NNP,,
1626,실력,NNG,,
1627,이,JKS,,
1628,좀,MAG,,
1629,업그레이드,NNP,,
1630,되,VV,,
1631,ㄹ,ETM,,
1632,수,NNB,,
1633,있,VX,,
1634,었,EP,,
1635,어요,EC,,
1636,이때,NNG,,
1637,가,JKS,,
1638,인생,NNG,,
1639,3,SN,,
1640,번,NNB,,
1641,째,XSN,,
1642,서핑,NNP,,
1643,이,VCP,,
1644,었,EP,,
1645,는데,EC,,
1646,선생님,NNP,,
1647,께서,JKS,,
1648,잘,MAG,,
1649,하,XSV,,
1650,ㄴ다고,EC,,
1651,칭찬,NNG,,
1652,도,JX,,
1653,하,VV,,
1654,아,EC,,
1655,주,VX,,
1656,시,EP,,
1657,었,EP,,
1658,어요,EC,,
1659,(,SS,,
1660,신,XPN,,
1661,남,NNP,,
1662,),SS,,
1663,친절,NNG,,
1664,하,XSV,,
1665,시,EP,,
1666,ㄴ,ETM,,
1667,사장,NNG,,
1668,님,XSN,,
1669,",",SP,,
1670,서핑,NNP,,
1671,독점,NNP,,
1672,해변,NNP,,
1673,",",SP,,
1674,깔끔,XR,,
1675,하,XSA,,
1676,ㄴ,ETM,,
1677,시설,NNG,,
1678,",",SP,,
1679,귀엽,VA,,
1680,ㄴ,ETM,,
1681,토르,NNP,,
1682,까지,JX,,
1683,모든,MM,,
1684,게,NNG,,
1685,다,MAG,,
1686,만족,NNG,,
1687,스럽,XSA,,
1688,었,EP,,
1689,던,ETM,,
1690,숙소,NNG,,
1691,이,VCP,,
1692,었,EP,,
1693,어요,EC,,
1694,양양,NNP,,
1695,서핑,NNP,,
1696,숙소,NNG,,
1697,고민,NNG,,
1698,하,XSV,,
1699,시,EP,,
1700,는,ETM,,
1701,분,NNB,,
1702,들,XSN,,
1703,께,JKB,,
1704,힐,NNP,,
1705,비치,NNP,,
1706,서,NNP,,
1707,프리,NNP,,
1708,조,NNP,,
1709,트,VV,,
1710,추천,NNG,,
1711,하,XSV,,
1712,ㅂ니다,EC,,
1713,사이트,NNG,,
1714,:,SP,,
1715,www,SL,,
1716,.,SF,,
1717,healbeachsurf,SL,,
1718,.com,NNP,,
1719,인,NNG,,
1720,스타,NNP,,
1721,:,SP,,
1722,www,SL,,
1723,.,SF,,
1724,instagram,SL,,
1725,.com,NNP,,
1726,/,SP,,
1727,p,SL,,
1728,/,SP,,
1729,ByR,SL,,
1730,70,SN,,
1731,tmgXRm,SL,,
