,word,counted
439,동시,219
440,정신,218
441,주차,218
442,정예,218
443,전조,218
444,강남,218
445,위험,217
446,대군,216
447,이해,216
448,안전,215
449,북한,214
450,순간,214
451,예주,214
452,12월,214
453,제거,214
454,지원,214
455,감사,214
456,하후연,213
457,병력,212
458,재능,212
459,요즘,211
460,센터,211
461,제후,210
462,기대,210
463,옛날,210
464,발표,210
465,등장,209
466,호족,208
467,과거,208
468,영국,208
469,병법,207
470,일행,206
471,위기,206
472,사찰,206
473,모용외,206
474,인도,206
475,라이,206
476,화암사,205
477,글씨,205
478,경기,203
479,엄마,203
480,선택,203
481,시도,203
482,제압,202
483,운영,202
484,만큼,202
485,좌측,201
486,한편,201
487,남북,201
488,서신,200
489,주목,200
490,식당,200
491,애정,200
492,독일,200
493,점거,200
494,피해,200
495,상단,199
496,좌우,198
497,나중,198
498,정보,198
499,하니,198
500,조성,198
501,조망,198
502,등대,198
503,백마,197
504,현실,196
505,행복,196
506,그룹,196
507,동생,196
508,관원,196
509,기본,196
510,담당,195
511,수행,194
512,대회,194
513,인증,194
514,남편,193
515,목표,193
516,자사,193
517,기획사,193
518,아내,193
519,상대,192
520,수비,192
521,리조트,192
522,예상,192
523,흉노,192
524,표시,192
525,한나라,192
526,숙부,191
527,일정,191
528,오후,191
529,고기,190
530,남자,190
531,지모,190
532,혼란,189
533,관직,189
534,고향,189
535,보전,188
536,한서,188
537,물건,188
538,소나무,188
539,소개,187
540,지점,186
541,지력,186
542,여성,186
543,주장,186
544,대장,186
545,회군,185
546,제자,185
547,시행,185
548,연대,185
549,사고,185
550,부사,185
551,삼척,185
552,울산,184
553,인구,184
554,배낚시,184
555,치세,184
556,기도,184
557,투항,184
558,운전,184
559,양봉,183
560,대한민국,183
561,기간,183
562,오른쪽,183
563,민족,183
564,바닷가,183
565,용인,182
566,해파랑길,182
567,선수,181
568,오토,181
569,기억,181
570,실시,181
571,관동,180
572,곽정,180
573,관심,180
574,마리,180
575,통과,179
576,안량,179
577,양식,179
578,관서,179
579,오전,178
580,저수지,178
581,제일,178
582,손견,178
583,제도,177
584,장합,177
585,전화,177
586,해당,177
587,왼쪽,177
588,사지,176
589,형태,176
590,평소,176
591,귀족,176
592,악진,176
593,예전,176
594,공간,176
595,전문,176
596,작전,176
597,선우,175
598,기주,175
599,무렵,175
600,주인,175
601,하후돈,175
602,태풍,174
603,언어,174
604,가격,174
605,운세,173
606,2월,173
607,촬영,173
608,대구,173
609,종합,173
610,보고,173
611,대상,173
612,운명,173
613,구성,173
614,회수,172
615,하지,172
616,고장,172
617,예약,172
618,게스트하우스,171
619,즉위,171
620,와중,171
621,일족,171
622,작품,171
623,중원,170
624,고속도로,170
625,임금,170
626,서부군,170
627,여행지,170
628,가슴,170
629,일반,170
630,송암,169
631,요격,169
632,조심,169
633,입장,169
634,치중,168
635,상서,168
636,조대,167
637,인근,167
638,전략,167
639,검찰,166
640,본래,166
641,평가,165
642,해결,165
643,신문,165
644,건안,165
645,캐리어,164
646,어려움,164
647,백제,164
648,공사,164
649,허락,164
650,살해,164
651,손자,163
652,가후,163
653,양평,163
654,구역,163
655,일대,162
656,오환,162
657,익주,162
658,재주,162
659,안보,162
660,단풍,162
661,작업,162
662,건물,162
663,형상,161
664,눈물,161
665,스님,161
