,word,counted
423,천년,60
424,이다,60
425,키즈,60
426,조명,60
427,좋아서,60
428,인테리어,60
429,오시,60
430,토요일,60
431,가게,60
432,복도,59
433,양념,59
434,순두부,59
435,부분,59
436,이때,59
437,메밀국수,59
438,대표,58
439,타임,58
440,그늘,58
441,2시,58
442,여성,58
443,결제,58
444,디그,58
445,천원,58
446,묵사발,58
447,설치,57
448,동호,57
449,공지,57
450,양양읍,57
451,부부,57
452,드릴,57
453,발견,57
454,가평,56
455,횟감,56
456,실내,56
457,방파제,56
458,더블,56
459,일반,56
460,온돌,56
461,창가,56
462,모임,55
463,신이,55
464,여행기,55
465,이외,55
466,포장,55
467,마루,55
468,우럭,55
469,해장국,55
470,생맥주,55
471,기회,55
472,시각,55
473,인제,55
474,어메니티,55
475,외출,55
476,경험,55
477,곤충,55
478,블루베리,54
479,초보자,54
480,정원,54
481,인원수,54
482,해돋이,54
483,롯데,54
484,-1,54
485,바닷바람,54
486,마운틴,54
487,연결,54
488,바깥,54
489,이제,54
490,블로그,54
491,삼척,54
492,일몰,54
493,무트,53
494,튜브,53
495,중앙시장,53
496,바닷물,53
497,오토,53
498,완벽,53
499,부모,53
500,포켓몬,53
501,안전,53
502,전화번호,53
503,인구,53
504,이후,53
505,배정,53
506,그림,53
507,분수대,52
508,전망대,52
509,관계,52
510,별미,52
511,니다,52
512,아이스,52
513,파란,52
514,기전,52
515,침구,52
516,해안,52
517,표현,52
518,안녕,52
519,덕분,52
520,국수,52
521,남대천,52
522,계절,51
523,장난,51
524,그릇,51
525,표정,51
526,다행,51
527,레스토랑,51
528,국내,51
529,수산,51
530,인상,51
531,촬영,51
532,작년,51
533,출장,51
534,가자,51
535,결정,51
536,기도,50
537,메밀,50
538,에어컨,50
539,동명,50
540,푸른,50
541,공연,50
542,아메리카노,50
543,만석,50
544,동산,50
545,동생,50
546,딱지,50
547,필수,50
548,고향,49
549,재미,49
550,뷔페,49
551,건강,49
552,연수원,49
553,시가,49
554,음식점,49
555,한샘,49
556,럭스,49
557,드라이,49
558,등장,49
559,다리,49
560,레일,49
561,해서,48
562,입장,48
563,꽁치,48
564,인근,48
565,한참,48
566,물치항,48
567,부족,48
568,계단,48
569,어촌계,48
570,제한,48
571,부스,48
572,행사,48
573,세상,48
574,크림,47
575,안보,47
576,포트,47
577,간식,47
578,화이트,47
579,구성,47
580,베드,47
581,대구,47
582,탄신일,47
583,착용,47
584,식구,47
585,실수,46
586,서울로,46
587,대여,46
588,영월,46
589,전국,46
590,얼음,46
591,전주,46
592,석가,46
593,태풍,46
594,감자,46
595,일요일,45
596,커튼,45
597,각종,45
598,마스크,45
599,산책로,45
600,생선튀김,45
601,이예,45
602,피자,45
603,마늘,45
604,하면,45
605,샴푸,45
606,포기,45
607,휴식,44
608,쉼표,44
609,장사,44
610,작품,44
611,개와 늑대의 시간,44
612,비밀,44
613,예정,44
614,배우,44
615,기가,44
616,농장,44
617,상추,44
618,-2,44
619,조합,43
620,숯불,43
621,그때,43
622,칫솔,43
623,피해,43
624,속초시,43
625,전복,43
626,조심,43
627,오색,43
628,내장,43
629,세면대,43
630,흡입,42
631,인증,42
632,사이즈,42
633,숙박업소,42
634,외부,42
635,냉면,42
636,설명,42
637,한식,42
638,스카이,42
639,방향,42
640,야채,42
641,고요,42
642,민박,42
643,후문,41
644,세탁실,41
645,패스,41
646,항구,41
647,의자,41
648,자전거,41
649,상차림,41
650,자락,41
651,오른쪽,41
652,와우,41
653,오산,41
654,부대시설,41
655,네이버,41
656,감동,41
657,솔밭,41
658,바우,41
659,구비,41
660,리필,41
661,모두,41
662,커피숍,41
663,해장,41
664,향기,41
665,첫날,41
666,운동,41
667,공유,40
668,가슴,40
669,지난주,40
670,.kr,40
671,볼거리,40
672,오션,40
673,계란,40
674,베이스캠프,40
675,월요일,40
676,쇼파,40
677,캠핑장,40
678,물고기,40
679,평창,40
680,창문,40
681,외관,40
682,얘기,40
683,일품,40
684,비용,39
685,정동진,39
686,아이스크림,39
687,아쉬움,39
688,얼굴,39
689,수산물,39
690,소스,39
691,안주,39
692,요금,39
693,파라솔,39
694,와이,39
695,치킨,39
696,보전,39
697,젓갈,39
698,안나,39
699,우리나라,39
700,남애항,39
701,인분,38
702,가도,38
703,센스,38
704,리뷰,38
705,어른,38
706,불상,38
707,홍합,38
708,공수,38
709,어린이,38
710,나이,38
711,대박,38
712,인당,38
713,사서,38
714,송이,38
715,단위,38
716,배경,37
717,거울,37
718,미끼,37
719,손맛,37
720,어촌,37
721,터널,37
722,참새,37
723,예술,37
724,인생,37
725,사온,37
726,여기저기,37
727,등심,37
728,스트레스,37
729,신발,37
730,변기,37
731,영상,37
732,소함,36
733,도보,36
734,불꽃놀이,36
735,이벤트,36
736,영자,36
737,계속,36
738,온돌방,36
739,가운데,36
740,택시,36
741,멸치,36
742,바퀴,36
743,수족관,36
744,대기,36
745,영화,36
746,듯이,36
747,피싱,36
748,육수,36
749,구매,36
750,동시,36
751,정재,36
752,거실,36
753,추위,36
754,프론트,36
755,온도,36
756,실패,36
757,성인,36
758,부담,36
759,구분,36
760,노을,35
761,결론,35
762,감기,35
763,돌아오는 길,35
764,바로,35
765,옷장,35
766,포장마차,35
767,동영상,35
768,특징,35
769,곳도,35
770,회의,35
771,입안,35
772,도미,35
773,피로,35
774,샐러드,35
775,건지,35
776,분리,35
777,광장,35
778,문자,34
779,보지,34
780,관리,34
781,부위,34
782,홈페이지,34
783,도구,34
784,조형물,34
785,인가,34
786,유명한,34
787,월드,34
788,투숙객,34
789,마트,34
790,저번,34
791,오신,34
792,이면,34
793,기간,34
794,과일,34
795,단풍,34
796,유지,34
797,사찰,34
798,크리스마스,34
799,수도,34
800,아이와,34
801,설악항,34
802,금요일,34
803,마찬가지,33
804,국밥,33
805,비도,33
806,짬뽕,33
807,조건,33
808,회사,33
809,기사,33
810,북적,33
811,전문,33
812,온수,33
813,소고기,33
814,생일,33
815,공사,33
816,가운,33
817,포토,33
818,연속,33
819,옛날,32
820,동반,32
821,조화,32
822,곳곳,32
823,샤워실,32
824,청소,32
825,한계령,32
826,토종닭,32
827,지인,32
828,안목,32
829,부산,32
830,과정,32
831,시기,32
832,육개장,32
833,전경,32
834,하늘정원,32
