,word,counted
428,낙산해수욕장,50
429,설악항,50
430,단체,50
431,사고,50
432,평창,50
433,폭죽,50
434,시기,50
435,순두부,50
436,배관,50
437,모델,50
438,토지,50
439,서울로,49
440,마무리,49
441,이서,49
442,청약,49
443,건강,49
444,재미,49
445,동반,49
446,남자,49
447,레이스,49
448,의상대,49
449,인승,49
450,물고기,49
451,여자,48
452,롯데,48
453,단위,48
454,공사,48
455,안쪽,48
456,분이,48
457,소나무,48
458,소식,48
459,편안,48
460,첫차,47
461,해서,47
462,객실,47
463,나름,47
464,지난번,47
465,플리,47
466,부스,47
467,올리브,47
468,깍두기,47
469,마늘,47
470,물건,46
471,출항,46
472,커플,46
473,3월,46
474,양평,46
475,언니,46
476,불편,45
477,해파랑길,45
478,자세,45
479,스파,45
480,순대,45
481,네이버,45
482,김밥,45
483,인제,45
484,다음날,45
485,오빠,45
486,오른쪽,45
487,작업,44
488,가구,44
489,한계령,44
490,공연,44
491,휴식,44
492,그동안,44
493,강현,44
494,블로그,44
495,사지,44
496,순간,44
497,운전,44
498,소유,44
499,외옹치항,44
500,나니,44
501,투어,44
502,냉면,43
503,소주,43
504,메밀,43
505,성비,43
506,무리,43
507,골목,43
508,요리,43
509,한번,43
510,전국,43
511,주민,43
512,대청봉,43
513,도자기,43
514,현장,43
515,전날,43
516,주방,43
517,왼쪽,43
518,숙박,42
519,주소,42
520,가보,42
521,자유,42
522,한참,42
523,해수욕,42
524,상품,42
525,동명,42
526,바닷물,42
527,특산물,42
528,업체,42
529,보루,42
530,바게트,42
531,도보,42
532,동호리,42
533,별도,42
534,고고,42
535,어부,41
536,해산물,41
537,경포대,41
538,오시,41
539,이때,41
540,표고버섯,41
541,연락,41
542,인생,41
543,제철,41
544,얼굴,41
545,일상,41
546,파라솔,41
547,개장,40
548,수육,40
549,목어,40
550,동시,40
551,구리,40
552,8월,40
553,메밀국수,40
554,고속,40
555,그물,40
556,내음,40
557,관음,40
558,얘기,40
559,나중,40
560,할인,40
561,수트,40
562,운행,40
563,디저트,40
564,.kr,40
565,양양읍,40
566,산책로,39
567,피곤,39
568,우럭,39
569,남대천,39
570,바로,39
571,공급,39
572,낙산항,39
573,침대,39
574,이후,39
575,손질,39
576,대여,39
577,가슴,39
578,머리,39
579,어구,38
580,남은,38
581,기회,38
582,하기,38
583,바닷바람,38
584,IC,38
585,동산,38
586,정동진,38
587,입수,38
588,야채,38
589,수업,38
590,여성,38
591,서서,38
592,이예,38
593,이것저것,38
594,피자,38
595,육수,38
596,지인,38
597,첫날,38
598,동서울,38
599,자랑,38
600,2월,38
601,전용,38
602,시가,37
603,포함,37
604,모래사장,37
605,동해고속도로,37
606,무한,37
607,우리나라,37
608,지난주,37
609,삼겹살,37
610,장날,37
611,도구,37
612,천원,37
613,작품,37
614,한우,37
615,목적지,37
616,수산물,37
617,망상,37
618,연결,37
619,청정,36
620,클릭,36
621,성공,36
622,미천,36
623,광어,36
624,인원,36
625,부산,36
626,평상,36
627,대게,36
628,기름,36
629,장비,36
630,경험,36
631,구조,36
632,곳도,36
633,교통,36
634,뒤쪽,36
635,음료,36
636,밑반찬,36
637,전진,36
638,이불,36
639,영상,36
640,다행,36
641,내일,35
642,주거,35
643,정자,35
644,취향,35
645,단골,35
646,전경,35
647,소품,35
648,양념,35
649,관리,35
650,갈수,35
651,콩알,34
652,원주,34
653,기사문항,34
654,마감,34
655,북쪽,34
656,터널,34
657,치즈,34
658,가시,34
659,별미,34
660,기전,34
661,곰치,34
662,반대편,34
663,길이,34
664,가도,34
665,홈페이지,34
666,소요,34
667,이사,34
668,은어,33
669,포항,33
670,건설,33
671,모듬,33
672,동호,33
673,들꽃,33
674,연산,33
675,연휴,33
676,라이,33
677,금액,33
678,요건,33
679,대신,33
680,향기,33
681,인접,33
682,시골,33
683,인분,33
684,등등,33
685,구성,33
686,연습,33
687,비용,32
688,한동안,32
689,드라이브,32
690,블록,32
691,개최,32
692,복귀,32
693,5월,32
694,스카이,32
695,타입,32
696,주인,32
697,대포,32
698,샤워실,32
699,배경,32
700,모두,32
701,평가,32
702,다로,32
703,시공,32
704,고양이,32
705,감상,32
706,사항,32
707,은지,32
708,부탁,32
709,유명,32
710,수영,32
711,하면,32
712,거실,32
713,콩국수,31
714,소스,31
715,내용,31
716,7월,31
717,낭만,31
718,직행,31
719,부족,31
720,가루,31
721,어른,31
722,회사,31
723,면적,31
724,의미,31
725,게살,31
726,송암,31
727,달인,31
728,고요,31
729,장점,31
730,12월,31
731,대기,31
732,동치미,31
733,사리,31
734,테라스,31
735,전골,30
736,탐색,30
737,완료,30
738,옛날,30
739,단독,30
740,아쿠아,30
741,화로,30
742,언덕,30
743,신청,30
744,겨울철,30
745,양가,30
746,비교,30
747,해수,30
748,기로,30
749,모임,30
750,그날,30
751,상황,30
752,시식,30
753,-2,30
754,블루베리,30
755,수건,30
756,유명한,30
757,햇살,30
758,최신,30
759,어린이,30
760,탕수육,30
761,건너편,30
762,인테리어,30
763,그림,30
764,오래전,30
765,양이,30
766,고추,30
767,장사항,30
768,안개,30
769,완행,29
770,농산물,29
771,매장,29
772,종이,29
773,각자,29
774,농협,29
775,휴가철,29
776,시간표,29
777,멍게,29
778,발효,29
779,수도권,29
780,주인장,29
781,레몬,29
782,월요일,29
783,갈비탕,29
784,미끼,29
785,편의점,29
786,문제,29
787,모텔,29
788,4월,29
789,일품,29
790,안목,29
791,고장,29
792,해안선,29
793,북적,29
794,계절,29
795,대명,29
796,카메라,29
797,중심,29
798,치킨,29
799,보증금,29
800,갈비,28
801,채비,28
802,이전,28
803,11월,28
804,탐방,28
805,제다이,28
806,야외,28
807,각종,28
808,요기,28
809,시스템,28
810,만석,28
811,시대,28
812,경유,28
813,어제,28
814,와인,28
815,세컨드,28
816,화진포,28
817,어민,28
818,재료,28
819,세상,28
820,구경거리,28
821,고향,28
822,인심,28
823,양양가,28
824,캠핑장,28
825,도전,27
826,숯불,27
827,생신,27
828,선생님,27
829,입장,27
830,동영상,27
831,소금,27
832,초보자,27
833,감자,27
834,욕실,27
835,해마,27
836,화채,27
837,대형,27
838,우등,27
839,모닝,27
840,위주,27
841,마스터,27
842,매콤,27
843,시야,27
844,동이,27
845,간성,27
846,표고,27
847,평일,27
848,계속,27
849,지원,27
850,인상,27
851,집중,27
852,가득,27
853,해당화,27
854,선조,27
855,간판,27
856,고객,27
857,바닷길,27
858,낚시대,27
859,대세,27
860,로스팅,27
861,목공,26
862,조식,26
863,상담,26
864,보금자리,26
865,인천,26
866,아가,26
867,전체,26
868,국민,26
869,배달,26
870,올림픽,26
871,접시,26
872,해당,26
873,형식,26
874,즐거움,26
875,하이,26
876,사악,26
877,노력,26
878,지방,26
879,위험,26
880,코너,26
881,어업,26
882,실내,26
883,당시,26
884,노릇,26
885,자신,26
886,정덕,26
887,출조,26
888,린디,26
889,자녀,26
890,야영장,26
891,남자친구,26
892,아주머니,25
893,사회,25
894,생산,25
895,과정,25
896,데리,25
897,운치,25
898,군중,25
899,소보,25
900,사이즈,25
901,배치,25
902,파티,25
903,방해,25
904,가자,25
905,부담,25
906,영업,25
907,원두,25
908,호기심,25
909,가니,25
910,마차,25
911,감성돔,25
912,정류장,25
913,홍보,25
914,난리,25
915,된장찌개,25
916,내년,25
917,수영장,25
918,테이크아웃,25
919,용면,25
920,노래,25
921,엉덩이,25
922,앞으로,25
923,레져,24
924,명태,24
925,수심,24
926,입문,24
927,실신,24
928,종일,24
929,대출,24
930,브레드,24
931,데이트,24
932,시내버스,24
933,나물,24
934,순위,24
935,지경,24
936,카드,24
937,특징,24
938,형성,24
939,고생,24
940,난로,24
941,산미,24
942,맛나,24
943,택시,24
944,한눈,24
945,고개,24
946,10월,24
947,입질,24
948,테스트,24
949,자체,24
950,에선,24
951,교통망,24
952,보전,24
953,가운데,24
954,파출소,24
955,갈마,24
956,소량,24
957,산토리,24
958,입주민,24
959,성수기,24
960,단풍,24
961,미세먼지,24
962,아기,24
963,정성,23
964,이미지,23
965,설계,23
966,삼포,23
967,수제,23
968,금지,23
969,.co,23
970,버전,23
971,전통,23
972,특화,23
973,접근성,23
974,두두,23
975,아니,23
976,예상,23
977,합격,23
978,접근,23
979,필수,23
980,더위,23
981,매물,23
982,한국,23
983,최대,23
984,심곡항,23
985,별빛,23
986,이외,23
987,지로,23
988,요일,23
989,모집,23
990,전환,23
991,평소,23
992,오신,23
993,신경,23
994,라마다,23
995,국수,23
996,부근,23
997,걷기,23
998,계정,23
999,앞바다,23
1000,핫도그,23
1001,캐리어,23
1002,일부,23
1003,폭포,23
1004,공작,23
1005,케이블카,22
1006,란치아,22
1007,시선,22
1008,등받이,22
1009,이륜,22
1010,반환점,22
1011,작성,22
1012,직원,22
1013,용품,22
1014,하나,22
1015,장아찌,22
1016,결정,22
1017,아웃,22
1018,그중,22
1019,삼천리,22
1020,나날,22
1021,택지,22
1022,유람선,22
1023,가평,22
1024,지정,22
1025,부품,22
1026,인사,22
1027,생태,22
1028,발길,22
1029,자전거 길,22
1030,동산항,22
1031,마당,22
1032,서프시티,22
1033,안가,22
1034,잔차,22
1035,튜브,22
1036,시범,22
1037,밤바람,22
1038,차이,22
1039,보링,22
1040,이다,22
1041,개방,22
1042,효종,22
1043,가미,22
1044,사둔,22
1045,남향,22
1046,완벽,22
1047,더 가까이,22
1048,아바이,22
1049,명찰,22
1050,뉴턴,22
1051,계단,22
1052,목적,22
1053,둔전,22
1054,경계,22
1055,손양면,22
1056,워크,22
1057,노동,22
1058,등장,22
1059,열정,22
1060,점포,22
1061,감동,22
1062,한병도,22
1063,금정,22
1064,자연휴양림,22
1065,해장,21
1066,주차공간,21
1067,냉장고,21
1068,이국,21
1069,짜장면,21
1070,종합,21
1071,스타일,21
1072,소재,21
1073,한편,21
1074,전세,21
1075,와서,21
1076,재배,21
1077,차돌,21
1078,호로,21
1079,휴양지,21
1080,항아리,21
1081,농장,21
1082,드라이,21
1083,포토,21
1084,프리,21
1085,전화번호,21
1086,어선,21
1087,선사,21
1088,시절,21
1089,메인,21
1090,패스,21
1091,서면,21
1092,돼지,21
1093,변경,21
1094,정상,21
1095,오프,21
1096,송지호,21
1097,황태,21
1098,장이,21
1099,반점,21
1100,베이커리,21
1101,남쪽,21
1102,태풍,21
1103,일행,21
1104,트럭,21
1105,인가,21
1106,민박,21
1107,바퀴,20
1108,주 주,20
1109,아바이마을,20
1110,예뻐서,20
1111,포구,20
1112,기념,20
1113,월드,20
1114,특색,20
1115,역사,20
1116,시외,20
1117,개설,20
1118,소돌항,20
1119,조류,20
1120,샴푸,20
1121,강릉항,20
1122,건지,20
1123,횟감,20
1124,용인,20
1125,당일치기,20
1126,공인중개사,20
1127,프리미엄,20
1128,확보,20
1129,와이,20
1130,차돌박이,20
1131,진한,20
1132,군데,20
1133,생일,20
1134,구분,20
1135,공예품,20
1136,화이트,20
1137,미시령,20
1138,체력,20
1139,전병,20
1140,한쪽,20
1141,시도,20
1142,테이크,20
1143,조형물,20
1144,색깔,20
1145,경기도,20
1146,상형,20
1147,골짜기,19
1148,서울양양고속도로,19
1149,진전,19
1150,현지,19
1151,박스,19
1152,선생,19
1153,신발,19
1154,처리,19
1155,동해시,19
1156,학교,19
1157,정원,19
1158,양도,19
1159,라인업,19
1160,입지,19
1161,수요,19
1162,강릉시,19
1163,환상,19
1164,씨알,19
1165,울진,19
1166,고구마,19
1167,리타,19
1168,연속,19
1169,나머지,19
1170,꿀맛,19
1171,전문,19
1172,공영,19
1173,연락처,19
1174,비쥬,19
1175,게스트,19
1176,벤치,19
1177,장호항,19
1178,천막,19
1179,자동차,19
1180,루스,19
1181,조심,19
1182,이점,19
1183,희망,19
1184,영업시간,19
1185,한입,19
1186,인원수,19
1187,일본,19
1188,지점,19
1189,광진,19
1190,경찰,19
1191,수도,19
1192,절대,19
1193,조양동,19
1194,만두,19
1195,음식점,19
1196,영월,19
1197,시간대,19
1198,공항,19
1199,애비,19
1200,여명,19
1201,공방,19
1202,며칠,19
1203,쿠키,19
1204,헬스,19
1205,방면,19
1206,인터넷,19
1207,리에,19
1208,학생,18
1209,앞쪽,18
1210,국밥,18
1211,수요일,18
1212,우수,18
1213,제휴,18
1214,목장,18
1215,실로암,18
1216,패션쇼,18
1217,푸드,18
1218,통일전망대,18
1219,도천면,18
1220,동동,18
1221,구비,18
1222,금요일,18
1223,인정,18
1224,현금,18
1225,산행,18
1226,양구,18
1227,밸리,18
1228,임금,18
1229,소면,18
1230,9월,18
1231,제비,18
1232,연수원,18
1233,주위,18
1234,두부,18
1235,가치,18
1236,먹방,18
1237,2시,18
1238,조선,18
1239,해먹,18
1240,보물,18
1241,여기저기,18
1242,가능,18
1243,제주,18
1244,봄나물,18
1245,결과,18
1246,손맛,18
1247,소문,18
1248,아쉬움,18
1249,덜미,18
1250,미리,18
1251,해물,18
1252,시내,18
1253,불고기,18
1254,대진항,18
1255,확장,18
1256,표정,18
1257,이해,18
1258,등산,18
1259,무인,18
1260,용호리,18
1261,음악,18
1262,등급,18
1263,보로,18
1264,배려,17
1265,클럽,17
1266,가마솥,17
1267,교리,17
1268,숙박업소,17
1269,죽변항,17
1270,매표소,17
1271,아저씨,17
1272,일시,17
1273,추진,17
1274,포기,17
1275,제주도,17
1276,골든,17
1277,나라,17
1278,만경대,17
1279,수준,17
1280,공유,17
1281,공예,17
1282,초대,17
1283,양지역,17
1284,페이지,17
1285,리뷰,17
1286,바라,17
1287,안전교육,17
1288,어촌계,17
1289,대진,17
1290,보건,17
1291,로비,17
1292,개별,17
1293,미니,17
1294,이엘,17
1295,기도,17
1296,잡기,17
1297,토리,17
1298,과일,17
1299,에어컨,17
1300,관계,17
1301,그늘,17
1302,방송,17
1303,뷔페,17
1304,중앙,17
1305,피해,17
1306,보통,17
1307,니다,17
1308,피플,17
1309,한장,17
1310,공수,17
1311,비주얼,17
1312,바구니,17
1313,정신,17
1314,막걸리,17
1315,강구항,17
1316,조합,17
1317,통학,17
1318,침구,17
1319,해장국,17
1320,안나,17
1321,와우,17
1322,만끽,17
1323,-3,17
1324,인해,17
1325,모델링,17
1326,오산항,17
1327,심야,17
1328,신축,16
1329,버거,16
1330,이기,16
1331,월 가,16
1332,어달항,16
1333,간만,16
1334,일원,16
1335,개월,16
1336,세팅,16
1337,분리,16
1338,절경,16
1339,경관,16
1340,참가,16
1341,유적,16
1342,번호,16
1343,소비자,16
1344,식탁,16
1345,감기,16
1346,가면,16
1347,작정,16
1348,센스,16
1349,생활의 달인,16
1350,온천,16
1351,가드,16
1352,난방,16
1353,곤충,16
1354,묵호항,16
1355,품질,16
1356,지만,16
1357,경유지,16
1358,저번,16
1359,기가,16
1360,레일,16
1361,목살,16
1362,점심시간,16
1363,실수,16
1364,양파,16
1365,조각,16
1366,구역,16
1367,기원,16
1368,박사,16
1369,정취,16
1370,건축,16
1371,연기,16
1372,하차,16
1373,하수,16
1374,통합,16
1375,조명,16
1376,야영,16
1377,속초시외버스터미널,16
1378,교동,16
1379,분도,16
1380,장수,16
1381,적극,16
1382,공공,16
1383,동해항,16
1384,안보,16
1385,조건,16
1386,이틀,16
1387,귀농,16
1388,발생,16
1389,하수구,16
1390,날짜,16
1391,이벤트,15
1392,대한민국,15
1393,안주,15
1394,본인,15
1395,발걸음,15
1396,약수,15
1397,-5,15
1398,발표,15
1399,한과,15
1400,입장료,15
1401,브랜드,15
1402,고양,15
1403,자갈,15
1404,낚시터,15
1405,영화,15
1406,초장,15
1407,발전,15
1408,선정,15
1409,방문객,15
1410,성지,15
1411,장도,15
1412,울산,15
1413,파크,15
1414,약속,15
1415,통과,15
1416,대비,15
1417,고급,15
1418,사찰,15
1419,래미,15
1420,정선,15
1421,스포츠,15
1422,후회,15
1423,현대,15
1424,외국,15
1425,본점,15
1426,남녀노소,15
1427,도움,15
1428,강현중학교,15
1429,광주,15
1430,대구탕,15
1431,성전,15
1432,개발,15
1433,동계,15
1434,구어,15
1435,이론,15
1436,가까이,15
1437,인프라,15
1438,풀빵,15
1439,베리,15
1440,여름철,15
1441,등대도,15
1442,불빛,15
1443,아아,15
1444,기자,15
1445,포즈,15
1446,수영복,15
1447,베이컨,15
1448,능선,15
