,word,counted
0,조조,4192
1,사람,3611
2,모양,2885
3,양양,2141
4,원소,1783
5,태조,1694
6,시작,1675
7,공격,1631
8,유비,1442
9,군사,1436
10,바다,1381
11,이때,1355
12,전진,1344
13,마음,1325
14,나라,1212
15,여행,1164
16,중국,1162
17,격파,1137
18,이름,1136
19,황제,1133
20,자신,1118
21,이후,1106
22,제기,1083
23,속초,1037
24,이야기,1020
25,장수,1013
26,대사,1007
27,모습,992
28,다음,980
29,해변,980
30,동진,970
31,선사,956
32,지역,946
33,처음,943
34,석호,935
35,여포,916
36,자리,911
37,당시,906
38,아들,904
39,혜원,884
40,후조,859
41,석륵,848
42,관우,845
43,사실,813
44,시대,809
45,소리,795
46,폭포,791
47,전투,781
48,계곡,770
49,환온,746
50,염불,745
51,형주,727
52,서쪽,725
53,서울,723
54,동쪽,722
55,동해,719
56,지금,713
57,항복,709
58,지도,701
59,코스,700
60,세상,700
61,상황,694
62,마을,691
63,세력,691
64,정벌,691
65,손권,686
66,사망,684
67,아래,682
68,수리,679
69,불교,673
70,원상,671
71,바람,664
72,지방,658
73,정토,654
74,백성,652
75,천자,643
76,거리,638
77,토벌,635
78,여름,633
79,바위,629
80,천하,628
81,대답,618
82,출발,614
83,수행,614
84,반란,612
85,한국,608
86,가지,595
87,산행,593
88,아침,586
89,강릉,582
90,결사,580
91,겨울,578
92,동안,576
93,주둔,574
94,문제,569
95,진행,567
96,포위,567
97,미국,559
98,준비,551
99,일본,551
100,시기,540
101,무리,539
102,삼매,538
103,능선,537
104,사이,535
105,진군,535
106,행사,534
107,함락,533
108,하늘,528
109,군대,528
110,병사,509
111,중심,506
112,인물,505
113,남쪽,503
114,기병,501
115,이용,498
116,부분,497
117,나무,495
118,서핑,486
119,낚시,485
120,임명,481
121,동탁,480
122,기록,479
123,마지막,477
124,교육,476
125,장군,474
126,운동,472
127,부처,470
128,경우,464
129,멸망,463
130,가족,462
131,필요,457
132,참수,456
133,도로,455
134,조인,455
135,낙양,454
136,보니,453
137,사용,452
138,방향,451
139,친구,449
140,계획,439
141,낙산사,437
142,역사,435
143,설악,433
144,삼국지,433
145,파도,428
146,중간,427
147,원술,426
148,인해,424
149,사상,422
150,성공,421
151,전쟁,420
152,성한,419
153,정리,417
154,이전,417
155,설치,417
156,안정,416
157,사랑,416
158,가운데,416
159,순욱,412
160,태수,408
161,.com,407
162,최초,406
163,북쪽,405
164,경계,404
165,하루,403
166,세계,403
167,신라,402
168,사단,399
169,마초,399
170,그때,398
171,원래,398
172,사회,397
173,평정,396
174,우리나라,396
175,장안,396
176,제갈량,394
177,대표,392
178,결정,390
179,머리,387
180,적의,387
181,공연,387
182,구간,385
183,근처,384
184,군량,383
185,관중,383
186,낙산,382
187,원담,380
188,해수욕장,375
189,스님,371
190,부견,371
191,체험,370
192,활동,369
193,느낌,368
194,저족,367
195,계책,366
196,화채,366
197,사업,362
198,신하,361
199,설악산,361
200,이동,361
201,차량,360
202,수도,360
203,조정,359
204,조선,359
205,상태,359
206,구원,358
207,주변,358
208,선비,358
209,정상,357
210,서주,355
211,백련,354
212,화상,352
213,전국,349
214,최고,349
215,다리,348
216,모용황,346
217,싸움,345
218,도움,344
219,독립,341
220,여산,341
221,나이,341
222,대파,339
223,얼굴,339
224,7월,337
225,학교,336
226,동해안,336
227,승리,336
228,10월,335
229,시절,334
230,입구,334
231,서진,334
232,순유,332
233,부산,332
234,시장,332
235,대신,331
236,정부,331
237,제가,330
238,말씀,330
239,능력,329
240,부대,328
241,대부분,328
242,의미,327
243,모두,327
244,황하,327
245,계속,326
246,둔전,325
247,날씨,325
248,한수,324
249,의심,323
250,미션,322
251,의지,322
